South America Land Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999.0000
Year,Value
1987,0.70
1988,0.33
1989,0.27
1990,0.42
1991,0.53
1992,0.49
1993,0.50
1994,0.63
1995,0.60
1996,0.40
1997,0.90
1998,0.90
1999,0.43
2000,0.40
2001,0.68
2002,0.85
2003,0.84
2004,0.72
2005,0.75
2006,0.85
2007,0.62
2008,0.67
2009,0.92
2010,0.89
2011,0.78
2012,1.00
2013,0.87
2014,0.99
2015,1.28
2016,1.07
