Asia Land Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999.0000
Year,Value
1987,-0.07
1988,0.70
1989,0.73
1990,0.88
1991,0.63
1992,0.28
1993,0.33
1994,0.49
1995,1.22
1996,0.34
1997,0.85
1998,0.78
1999,0.92
2000,0.74
2001,0.92
2002,1.23
2003,0.95
2004,1.10
2005,1.11
2006,0.84
2007,1.62
2008,1.30
2009,0.89
2010,0.93
2011,1.03
2012,0.78
2013,1.31
2014,1.08
2015,1.65
2016,1.52
