Africa Land Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999.0000
Year,Value
1987,0.64
1988,0.34
1989,0.09
1990,0.28
1991,0.26
1992,0.12
1993,0.35
1994,0.19
1995,0.45
1996,0.40
1997,0.44
1998,0.87
1999,0.62
2000,0.39
2001,0.65
2002,0.76
2003,0.76
2004,0.72
2005,0.94
2006,0.68
2007,0.76
2008,0.70
2009,0.91
2010,1.26
2011,0.74
2012,0.73
2013,0.83
2014,0.91
2015,1.01
2016,1.25
