Track Name,Artist Name,Album Name,Track Duration (ms),Added At,Genre
House Of Balloons / Glass Table Girls,The Weeknd,Trilogy,405213,2016-12-11T09:39:08Z,"""canadian pop"", ""pop"", ""rap"""
The Morning,The Weeknd,Trilogy,312426,2016-12-11T09:39:11Z,"""canadian pop"", ""pop"", ""rap"""
Wicked Games,The Weeknd,Trilogy,323746,2016-12-11T09:39:14Z,"""canadian pop"", ""pop"", ""rap"""
High For This,The Weeknd,Trilogy,247226,2016-12-11T09:39:23Z,"""canadian pop"", ""pop"", ""rap"""
Ordinary Life,The Weeknd,Starboy,221920,2017-01-04T21:21:33Z,"""canadian pop"", ""pop"", ""rap"""
Love To Lay,The Weeknd,Starboy,223293,2017-01-04T21:21:34Z,"""canadian pop"", ""pop"", ""rap"""
On Hold,The xx,On Hold,224133,2016-11-29T22:33:46Z,"""alternative dance"", ""downtempo"", ""dream pop"", ""indietronica"", ""synthpop"""
City Of Angels,Thirty Seconds To Mars,LOVE LUST FAITH + DREAMS,302040,2016-12-26T01:20:32Z,"""alternative metal"", ""modern rock"", ""nu metal"", ""pop punk"", ""post-grunge"""
We Don't Talk Anymore,Travis Atreo,We Don't Talk Anymore,198300,2016-11-26T22:38:51Z,"""channel pop"", ""neo mellow"", ""post-teen pop"", ""viral pop"""
Heartbreaker,Travis Atreo,Heartbreaker,252969,2017-02-21T11:02:52Z,"""channel pop"", ""neo mellow"", ""post-teen pop"", ""viral pop"""
Simply Amazing,Trey Songz,Chapter V (Deluxe),239866,2016-12-09T05:53:16Z,"""dance pop"", ""dwn trap"", ""indie r&b"", ""pop"", ""pop christmas"", ""pop rap"", ""r&b"", ""southern hip hop"", ""trap music"", ""urban contemporary"""
Neighbors Know My Name,Trey Songz,Ready (Deluxe),186306,2016-12-09T06:25:36Z,"""dance pop"", ""dwn trap"", ""indie r&b"", ""pop"", ""pop christmas"", ""pop rap"", ""r&b"", ""southern hip hop"", ""trap music"", ""urban contemporary"""
Find Me,Virginia To Vegas,Utopian,195880,2016-12-07T05:32:45Z,"""indie pop"", ""dance pop"""
Sad Song,"We The Kings, Elena Coats",So Far,226511,2017-02-19T23:50:49Z,"""emo"", ""modern rock"", ""neo mellow"", ""piano rock"", ""pop"", ""pop emo"", ""pop punk"", ""pop rock"", ""post-teen pop"", ""teen pop"", ""viral pop"""
Eyes Nose Lips,"Z.Woods, David So",Eyes Nose Lips,235776,2017-02-17T05:13:53Z,"""deep pop r&b"""
I Don’t Wanna Live Forever (Fifty Shades Darker),"ZAYN, Taylor Swift",I Don’t Wanna Live Forever (Fifty Shades Darker),245200,2016-12-19T19:51:19Z,"""dance pop"", ""pop"", ""post-teen pop"", ""tropical house"""
