Track Name,Artist Name,Album Name,Track Duration (ms),Added At,Genre
Not Going Home,"DVBBS, CMC$, Gia Koka",Beautiful Disaster,194960,2016-12-11T02:51:25Z,"""big room"", ""brostep"", ""deep big room"", ""edm"", ""electro house"", ""progressive electro house"", ""progressive house"", ""tropical house"""
Over You,"Dyrisk, Flyboy",Over You,192156,2017-10-22T01:23:48Z,"""deep tropical house"", ""tropical house"""
Stranger,Earl of Manila,Stranger,295384,2017-04-14T21:52:54Z,"""r&b"", ""soul"""
Castle on the Hill,Ed Sheeran,Castle on the Hill,261153,2017-01-06T07:42:58Z,"""pop"""
Shape of You,Ed Sheeran,Shape of You,233712,2017-01-06T07:43:06Z,"""pop"""
Photograph,Ed Sheeran,x (Deluxe Edition),258986,2017-01-06T07:43:29Z,"""pop"""
Thinking Out Loud,Ed Sheeran,x (Deluxe Edition),281560,2017-01-06T07:43:30Z,"""pop"""
Burn,Ellie Goulding,Halcyon Days,231211,2017-02-19T05:14:09Z,"""dance pop"", ""metropopolis"", ""neo mellow"", ""pop"", ""post-teen pop"", ""tropical house"""
"Love Me Like You Do - From Fifty Shades Of Grey""""",Ellie Goulding,Delirium (Deluxe),252534,2017-02-19T05:14:32Z,"""dance pop"", ""metropopolis"", ""neo mellow"", ""pop"", ""post-teen pop"", ""tropical house"""
Lights,Ellie Goulding,Halcyon Days,210633,2017-02-19T05:14:57Z,"""dance pop"", ""metropopolis"", ""neo mellow"", ""pop"", ""post-teen pop"", ""tropical house"""
Wait for You,Elliott Yamin,Elliott Yamin,261320,2017-01-15T23:49:11Z,"""dance pop"", ""idol"", ""pop"""
Come Out Your Way,Eric Chou,???,228293,2017-02-27T21:38:27Z,"""c-pop"", ""deep taiwanese pop"", ""mandopop"", ""taiwanese pop"""
Life Goes On,Fergie,Life Goes On,230213,2016-12-07T05:52:29Z,"""dance pop"", ""hip pop"", ""pop"", ""pop rap"", ""post-teen pop"", ""r&b"", ""urban contemporary"""
Big Girls Don't Cry (Personal),Fergie,The Dutchess Deluxe,268120,2016-12-23T12:01:07Z,"""dance pop"", ""hip pop"", ""pop"", ""pop rap"", ""post-teen pop"", ""r&b"", ""urban contemporary"""
Never Be Like You (Martin Solveig Remix) [feat. Kai],"Flume, kai",Never Be Like You (Martin Solveig Remix) [feat. Kai],284160,2017-02-21T10:19:01Z,"""aussietronica"", ""australian alternative rock"", ""australian dance"", ""downtempo"", ""tropical house"""
Iceland (feat. Gavrielle),"Flyboy, Gavrielle",Iceland (feat. Gavrielle),195151,2017-10-22T01:24:03Z,"""deep tropical house"""
