Rock	Piano Rock	Sub-sub genre	A Great Big World	Say Something
R&B	Soul	Sub-sub genre	Lukas Graham	What Happened To Perfect
Hip Hop	Sub-genre	Sub-sub genre	Mac Miller	Someone Like You
Hip Hop	Sub-genre	Sub-sub genre	Mac Miller	Cinderella
Alternative	Alternative Dance	Sub-sub genre	Madeon	La Lune
Alternative	Alternative Dance	Sub-sub genre	Madeon	Pay No Mind
Pop	Pop Punk	Sub-sub genre	Marianas Trench	Who Do You Love
Pop	Pop Punk	Sub-sub genre	Marianas Trench	One Love
Pop	Pop Punk	Sub-sub genre	Marianas Trench	Forget Me Not
Pop	Dance Pop	Sub-sub genre	Matthew Koma	One Night
Pop	Post-Teen Pop	Sub-sub genre	MAX	Lights Down Low
Pop	Indie Poptimism	Sub-sub genre	Michl	When You Loved Me Least
Pop	Indie Poptimism	Sub-sub genre	Michl	Die Trying
Pop	Indie Poptimism	Sub-sub genre	Michl	Broken Roots
Pop	Indie Poptimism	Sub-sub genre	Michl	Tell Me The Same
Pop	Indie Poptimism	Sub-sub genre	Michl	Kill Our Way To Heaven
