?Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At,Genre
spotify:track:6lanRgr6wXibZr8KgzXxBl,A Thousand Years,Christina Perri,A Thousand Years,1,1,285120,spotify:user:jennunyan,2016-11-26T22:39:57Z,"""dance pop"", ""neo mellow"", ""pop"", ""pop christmas"", ""pop rock"", ""post-teen pop"", ""viral pop"""
spotify:track:3PvzvltQZLIKk9YgoMP3Yq,The Mother We Share,CHVRCHES,The Bones Of What You Believe (Special Edition),1,1,190160,spotify:user:jennunyan,2016-11-28T04:56:58Z,"""alternative dance"", ""indie pop"", ""indie poptimism"", ""indietronica"", ""metropopolis"", ""modern rock"", ""pop"", ""shimmer pop"", ""shiver pop"", ""synthpop"", ""tropical house"""
spotify:track:3FCFjCqCb1EDirLdISzviz,Lover's Thing,"Ciara, The Dream",Fantasy Ride,1,7,207933,spotify:user:jennunyan,2017-01-15T07:02:44Z,"""dance pop"", ""deep pop r&b"", ""hip pop"", ""neo soul"", ""pop"", ""pop rap"", ""post-teen pop"", ""r&b"", ""southern hip hop"", ""urban contemporary"""
spotify:track:5qPGi9p8VqcizfdgWxtmLt,Lovers In Japan,Coldplay,Viva La Vida Or Death And All His Friends,1,5,411013,spotify:user:jennunyan,2016-11-28T19:02:48Z,"""permanent wave"", ""pop"", ""pop christmas"""
spotify:track:1xa6CGgpO6MNPpWRThoqVY,Arizona,Common Souls,Pyramid Lake,1,2,292413,spotify:user:jennunyan,2017-03-05T22:52:37Z,"""downtempo"""
spotify:track:1ueJJxdZdkh6SvZil3LNuf,Stereo,Courage My Love,Stereo,1,1,196066,spotify:user:jennunyan,2016-12-07T05:57:43Z,"""metropopolis"", ""pixie"", ""pop emo"
spotify:track:1XzWLvt7llj1OMz4hHLhRE,Is There Anybody Out There? (feat. Clara C),"DANakaDAN, Clara C",Stuntman,1,4,243173,spotify:user:jennunyan,2017-02-26T03:22:29Z,"""hip hop"""
spotify:track:7Cu2COdH93MnuireuKNiS3,Streetcar,Daniel Caesar,Pilgrim's Paradise,1,5,246972,spotify:user:jennunyan,2017-04-02T07:39:24Z,"""deep indie r&b"", ""indie r&b"", ""pop rap"""
spotify:track:0g5EKLgdKvNlln7TNqBByK,Middle,"DJ Snake, Bipolar Sunshine",Encore,1,2,220573,spotify:user:jennunyan,2017-02-19T05:15:26Z,"""dance pop"", ""edm"", ""electronic trap"", ""pop"", ""tropical house"""
spotify:track:0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,"DJ Snake, Justin Bieber",Encore,1,13,205946,spotify:user:jennunyan,2017-01-10T02:47:20Z,"""dance pop"", ""edm"", ""electronic trap"", ""pop"", ""tropical house"""
spotify:track:7bvoCZHNGrtGvWM9eYmesO,Marvins Room,Drake,Take Care,1,6,347226,spotify:user:jennunyan,2016-11-28T05:01:54Z,"""canadian pop"", ""hip hop"", ""pop rap"", ""rap"""
spotify:track:6NMNgWgEAzde5M8U3lc6FN,Fake Love,Drake,Fake Love,1,1,207813,spotify:user:jennunyan,2016-12-21T06:21:23Z,"""canadian pop"", ""hip hop"", ""pop rap"", ""rap"""
spotify:track:7Db1qyGFeMPIU7pZOZvTME,"Hold On, We're Going Home","Drake, Majid Jordan",Nothing Was The Same,1,8,227880,spotify:user:jennunyan,2016-11-28T05:01:39Z,"""canadian pop"", ""hip hop"", ""pop rap"", ""rap"""
spotify:track:12VWzyPDBCc8fqeWCAfNwR,One Dance,"Drake, WizKid, Kyla",Views,1,12,173986,spotify:user:jennunyan,2016-11-28T04:56:29Z,"""canadian pop"", ""hip hop"", ""pop rap"", ""rap"""
spotify:track:7C7GwLFoDQztNFElOFHjc3,Not Going Home,"DVBBS, CMC$, Gia Koka",Beautiful Disaster,1,3,194960,spotify:user:jennunyan,2016-12-11T02:51:25Z,"""big room"", ""brostep"", ""deep big room"", ""edm"", ""electro house"", ""progressive electro house"", ""progressive house"", ""tropical house"""
spotify:track:6HjCUX0ampLE2gCT4IfWIG,Over You,"Dyrisk, Flyboy",Over You,1,1,192156,spotify:user:jennunyan,2017-10-22T01:23:48Z,"""deep tropical house"", ""tropical house"""
spotify:track:0jXs3psMB0UqvcZsLelF6p,Stranger,Earl of Manila,Stranger,1,3,295384,spotify:user:jennunyan,2017-04-14T21:52:54Z,"""r&b"", ""soul"""
spotify:track:66qlqxhEMpSHOzjRK4il0b,Castle on the Hill,Ed Sheeran,Castle on the Hill,1,1,261153,spotify:user:jennunyan,2017-01-06T07:42:58Z,"""pop"""
spotify:track:0FE9t6xYkqWXU2ahLh6D8X,Shape of You,Ed Sheeran,Shape of You,1,1,233712,spotify:user:jennunyan,2017-01-06T07:43:06Z,"""pop"""
spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,Ed Sheeran,x (Deluxe Edition),1,6,258986,spotify:user:jennunyan,2017-01-06T07:43:29Z,"""pop"""
spotify:track:34gCuhDGsG4bRPIf9bb02f,Thinking Out Loud,Ed Sheeran,x (Deluxe Edition),1,11,281560,spotify:user:jennunyan,2017-01-06T07:43:30Z,"""pop"""
spotify:track:0xMd5bcWTbyXS7wPrBtZA6,Burn,Ellie Goulding,Halcyon Days,1,14,231211,spotify:user:jennunyan,2017-02-19T05:14:09Z,"""dance pop"", ""metropopolis"", ""neo mellow"", ""pop"", ""post-teen pop"", ""tropical house"""
spotify:track:2l8w0zZVn4AZNuzrht7MRT,"Love Me Like You Do - From Fifty Shades Of Grey""""",Ellie Goulding,Delirium (Deluxe),1,9,252534,spotify:user:jennunyan,2017-02-19T05:14:32Z,"""dance pop"", ""metropopolis"", ""neo mellow"", ""pop"", ""post-teen pop"", ""tropical house"""
spotify:track:44906V2WC6k59u06A8CO9D,Lights,Ellie Goulding,Halcyon Days,1,13,210633,spotify:user:jennunyan,2017-02-19T05:14:57Z,"""dance pop"", ""metropopolis"", ""neo mellow"", ""pop"", ""post-teen pop"", ""tropical house"""
spotify:track:0U969xYNlAyfzi8P1TaO7u,Wait for You,Elliott Yamin,Elliott Yamin,1,2,261320,spotify:user:jennunyan,2017-01-15T23:49:11Z,"""dance pop"", ""idol"", ""pop"""
spotify:track:5grz3g3waDTERLkUMT0EeD,Come Out Your Way,Eric Chou,???,1,11,228293,spotify:user:jennunyan,2017-02-27T21:38:27Z,"""c-pop"", ""deep taiwanese pop"", ""mandopop"", ""taiwanese pop"""
spotify:track:6lda7tMldcrU1Q9fPaCrXc,Life Goes On,Fergie,Life Goes On,1,1,230213,spotify:user:jennunyan,2016-12-07T05:52:29Z,"""dance pop"", ""hip pop"", ""pop"", ""pop rap"", ""post-teen pop"", ""r&b"", ""urban contemporary"""
spotify:track:2ZpOQ2MJxce0xf1eKhobMR,Big Girls Don't Cry (Personal),Fergie,The Dutchess Deluxe,1,10,268120,spotify:user:jennunyan,2016-12-23T12:01:07Z,"""dance pop"", ""hip pop"", ""pop"", ""pop rap"", ""post-teen pop"", ""r&b"", ""urban contemporary"""
spotify:track:2YRThoubXy3sR0HS8eXiq9,Never Be Like You (Martin Solveig Remix) [feat. Kai],"Flume, kai",Never Be Like You (Martin Solveig Remix) [feat. Kai],1,1,284160,spotify:user:jennunyan,2017-02-21T10:19:01Z,"""aussietronica"", ""australian alternative rock"", ""australian dance"", ""downtempo"", ""tropical house"""
spotify:track:3exCXNLQYnt1FEdxksJZVD,Iceland (feat. Gavrielle),"Flyboy, Gavrielle",Iceland (feat. Gavrielle),1,1,195151,spotify:user:jennunyan,2017-10-22T01:24:03Z,"""deep tropical house"""
spotify:track:7yeUsYy2AFxYg35ULMFM8v,Run Away With Me (feat. Radiochaser),"Flyboy, Radiochaser",Run Away With Me (feat. Radiochaser),1,1,205423,spotify:user:jennunyan,2017-10-22T01:24:00Z,"""deep tropical house"""
spotify:track:7DfFc7a6Rwfi3YQMRbDMau,Thinkin Bout You,Frank Ocean,channel ORANGE,1,2,200746,spotify:user:jennunyan,2016-11-28T04:55:38Z,"""dance pop"", ""indie r&b"", ""neo soul"", ""pop"", ""pop rap"", ""rap"""
spotify:track:1xyOVyoRq03sR3dAcyZ86q,Officially Missing You,Geeks,Officially Missing You,1,1,210337,spotify:user:jennunyan,2016-12-09T04:23:04Z,"""k-pop"", ""korean pop"""
spotify:track:26mxEbx2XKF8p8AzLTsNAO,Lie to Me,George Nozuka,Believe,1,6,221584,spotify:user:jennunyan,2017-01-16T00:38:39Z,"""alternative r&b"", ""canadian pop"""
spotify:track:2J22VgQALSoekF3KCj1nIk,Landslide (Glee Cast Version featuring Gwyneth Paltrow),Glee Cast,Landslide (Glee Cast Version featuring Gwyneth Paltrow),1,1,226760,spotify:user:jennunyan,2016-12-26T10:55:18Z,"""dance pop"", ""pop"", ""pop christmas"", ""post-teen pop"", ""viral pop"""
spotify:track:2DRNRBJr2L3kw9Lj0zTLC7,Left Out,"gnash, Karizma",U,1,3,173453,spotify:user:jennunyan,2017-01-15T08:16:25Z,"""pop"", ""post-teen pop"", ""teen pop"", ""viral pop"""
