name,parent
All Mine,ONE OK ROCK
Wherever you are,ONE OK ROCK
Last Dance,ONE OK ROCK
the same as...,ONE OK ROCK
C.h.a.o.s.m.y.t.h.,ONE OK ROCK
Take What You Want (feat. 5 Seconds of Summer),ONE OK ROCK
OneRepublic,dance pop
Kids,OneRepublic
Passenger,indie folk
Let Her Go,Passenger
Passion Pit,alternative dance
Lifted Up (1985),Passion Pit
Pia Mia,dance pop
We Should Be Together,Pia Mia
"Porter Robinson, Madeon",big room
Shelter,"Porter Robinson, Madeon"
Robin Schulz,deep house
Shed a Light,Robin Schulz
Sam Smith,dance pop
Latch - Acoustic,Sam Smith
Restart,Sam Smith
Lay Me Down,Sam Smith
I'm Not The Only One,Sam Smith
Nirvana,Sam Smith
Lay Me Down (feat. John Legend),Sam Smith
Sara Bareilles,acoustic pop
Gravity,Sara Bareilles
Love Song,Sara Bareilles
Selena Gomez,dance pop
Sober,Selena Gomez
SoCal VoCals,a cappella
Lay Me Down in Paper Hearts,SoCal VoCals
SoMo,dance pop
Ride,SoMo
Sound,dance pop
I Know You Like Me,Sound
Starley,tropical house
Call On Me - Ryan Riback Extended Remix,Starley
Tenderfoot,acoustic pop
Chasing the Rain,Tenderfoot
The 1975,modern rock
Somebody Else,The 1975
The Sound,The 1975
Chocolate,The 1975
Settle Down,The 1975
Robbers,The 1975
Girls,The 1975
Pressure,The 1975
The City,The 1975
The Chainsmokers,edm
Paris,The Chainsmokers
Something Just Like This (feat. Coldplay),The Chainsmokers
The Killers,alternative rock
Mr. Brightside,The Killers
The Strokes,alternative rock
What Ever Happened?,The Strokes
The Weeknd,alternative r&b
Can't Feel My Face,The Weeknd
In The Night,The Weeknd
House Of Balloons / Glass Table Girls,The Weeknd
The Morning,The Weeknd
Wicked Games,The Weeknd
High For This,The Weeknd
Ordinary Life,The Weeknd
Love To Lay,The Weeknd
The xx,downtempo
On Hold,The xx
Thirty Seconds To Mars,modern rock
City Of Angels,Thirty Seconds To Mars
Travis Atreo,channel pop
We Don't Talk Anymore,Travis Atreo
Heartbreaker,Travis Atreo
Trey Songz,dance pop
Simply Amazing,Trey Songz
Neighbors Know My Name,Trey Songz
Virginia To Vegas,indie poptimism
Find Me,Virginia To Vegas
"We The Kings, Elena Coats",modern rock
Sad Song,"We The Kings, Elena Coats"
"Z.Woods, David So",deep pop r&b
Eyes Nose Lips,"Z.Woods, David So"
"ZAYN, Taylor Swift",dance pop
I Don’t Wanna Live Forever,"ZAYN, Taylor Swift"
